date,subject,sub-experiment,savetags,brain area,Depth,mapfile,time_range,sync_chan,sync_bit,g_num,t_num,imec_num,Condition set,project,probe,pad_start,pad_end,ignore_conds
2021-03-18,cousteau,pacman gain switch,0,PMd,,dense_tip,[0 Inf],3,8,0,0,0,6 total; all sin/chirp,pacman,npix_nhp_v1,1.0,1.0,
2021-03-22,cousteau,pacman gain switch,"1,2,3",M1,,dense_tip,[0 Inf],2,8,0,0,0,6 total; all sin/chirp,pacman,npix_nhp_v1,1.0,1.0,
2021-03-24,cousteau,pacman gain switch,0,M1,,dense_tip,[0 Inf],2,8,0,0,0,6 total; all sin/chirp,pacman,npix_nhp_v1,1.0,1.0,
2021-03-26,cousteau,pacman gain switch,"0,1",M1,4.000,dense_tip,[0 Inf],2,8,0,0,0,6 total; all sin/chirp,pacman,npix_nhp_v1,1.0,1.0,
2021-03-29,cousteau,pacman gain switch,"0,1,2",PMd,4.000,dense_tip,[0 Inf],2,8,0,0,0,6 total; all sin/chirp,pacman,npix_nhp_v1,1.0,1.0,
2021-03-31,cousteau,pacman gain switch,1,PMd,,dense_tip,[0 Inf],2,8,0,0,0,6 total; all sin/chirp,pacman,npix_nhp_v1,1.0,1.0,
2021-05-07,cousteau,pacman gain switch perturb,0,PMd,7.850,dense_tip,[0 Inf],2,8,0,0,0,12 total: slow ramps; symmetric; perturbs,pacman,npix_nhp_v1,0.5,0.5,
2021-05-10,cousteau,pacman gain switch perturb,"0,1",PMd,7.660,dense_tip,[0 Inf],2,8,0,0,0,13 total: slow ramps; symmetric; perturbs,pacman,npix_nhp_v1,0.5,0.5,
2021-05-18,cousteau,pacman gain switch perturb,"1,2,3",M1,,dense_tip,[0 Inf],2,8,0,0,0,14 total: slow ramps; symmetric; perturbs,pacman,npix_nhp_v1,0.5,0.5,
2021-05-20,cousteau,pacman gain switch perturb,0,PMd,5.550,dense_tip,[0 Inf],2,8,0,0,0,15 total: slow ramps; symmetric; perturbs,pacman,npix_nhp_v1,0.5,0.5,
2021-05-25,cousteau,pacman gain switch perturb,2,M1,5.580,dense_tip,[0 Inf],2,8,0,0,0,12 total slow ramps; symmetric; perturbs; 1hz sin,pacman,npix_nhp_v1,0.5,0.5,
2021-05-27,cousteau,pacman gain switch perturb,1,M1,7.500,dense_tip,[0 Inf],2,8,0,0,0,12 total slow ramps; symmetric; perturbs; 1hz sin,pacman,npix_nhp_v1,0.5,0.5,
2021-06-03,cousteau,pacman gain switch perturb,0,PMd,9.300,dense_tip,[0 Inf],2,8,0,0,0,12 total slow ramps; symmetric; perturbs,pacman,npix_nhp_v1,0.5,0.5,
2021-08-09,cousteau,pacman gain switch,1,M1,4.440,dense_tip,[0 Inf],3,8,0,0,0,3 levels of 1 Hz sin; fast ramps,pacman,npix_nhp_v1,0.5,0.5,
2021-08-11,cousteau,pacman gain reduce,"0,1,2,3,4",M1,6.500,dense_tip,[0 Inf],3,8,0,0,0,3 levels of 1 Hz sin; fast ramps,pacman,npix_nhp_v1,0.5,0.5,
2021-08-14,cousteau,pacman gain reduce,"0,1,2,3",M1,3.850,dense_tip,[0 Inf],3,8,0,0,0,3 levels of 1 Hz sin; fast ramps,pacman,npix_nhp_v1,0.5,0.5,
2021-08-15,cousteau,pacman gain reduce,"0,1,2,3,4",M1,4.750,dense_tip,[0 Inf],3,8,0,0,0,3 levels of 1 Hz sin; fast ramps,pacman,npix_nhp_v1,0.5,0.5,
